imdb_point,release_year,runtime,num_votes,is_action,is_adventure,is_animation,is_biography,is_comedy,is_crime,is_drama,is_family,is_fantasy,is_filmnoir,is_history,is_horror,is_music,is_musical,is_mystery,is_romance,is_scifi,is_sport,is_thriller,is_war,is_western,my_points
5.3,1990,104,146276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
6.5,2008,101,180477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
8.0,2008,120,862921,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6.5,2009,107,301744,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
8.0,1991,84,468248,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,7
6.4,2010,108,428899,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6
6.0,2023,130,102746,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7
7.7,1991,98,51267,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,8
4.7,1991,89,49006,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
7.7,2009,95,536808,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
7.7,2012,120,628269,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
8.2,2020,97,174635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
6.3,2019,51,6643,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
8.1,2009,93,298857,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8.6,1991,118,1484489,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
6.1,2022,105,116923,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6
8.6,1991,137,1135835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
7.0,2019,115,7187,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5.9,2019,110,1835,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8.0,1992,90,444770,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6
7.8,2023,169,259264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
8.0,2021,111,150543,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
7.1,1992,126,317797,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
7.4,1992,128,227736,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5
7.4,2007,78,189325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8
5.1,1991,90,44112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
6.1,2022,138,38699,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
4.1,2019,104,2100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8.2,2019,132,52573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7.7,1992,112,179601,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7
5.6,2020,60,7307,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8.3,2009,96,1083838,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7.1,2020,124,241509,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,6
7.8,2007,140,23287,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
8.3,1992,99,1053888,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
7.1,2008,90,24817,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
7.2,2008,88,21552,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7
7.2,2009,89,19119,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
5.9,2009,149,420034,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
6.3,2009,100,145838,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6
3.2,2021,108,656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7.0,2008,85,411469,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7
6.3,2020,98,44627,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6
7.4,1992,81,188464,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
7.4,2020,115,89534,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7.8,1993,76,54317,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6
6.2,2022,118,374023,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,6
6.5,2007,115,7240,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
5.5,2021,105,92335,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7
5.0,2022,111,64073,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
